Experiment,Removed_Classifier,Active_Classifiers,Num_Classifiers,Ensemble_Accuracy,Ensemble_Precision,Ensemble_Recall,Ensemble_F1,Ensemble_Time,DS_Accuracy,DS_Precision,DS_Recall,DS_F1,DS_Time,Accuracy_Diff,F1_Diff,Time_Diff
Baseline (All),None,"Gemini, GPT-5-mini, TwelveLabs, GPT-4o-mini, Qwen-VL, Replicate, MoonDream2",7,0.924000,0.944973,0.921252,0.926472,0.057291,0.938000,0.931412,0.937365,0.928250,275.213121,0.014000,0.001778,275.155830
Remove Top-1,Gemini,"GPT-5-mini, TwelveLabs, GPT-4o-mini, Qwen-VL, Replicate, MoonDream2",6,0.882000,0.931427,0.871435,0.889327,0.069898,0.924000,0.919076,0.924106,0.913256,237.359812,0.042000,0.023929,237.289914
Remove Top-2,GPT-5-mini,"TwelveLabs, GPT-4o-mini, Qwen-VL, Replicate, MoonDream2",5,0.827000,0.902191,0.810668,0.829898,0.054004,0.886000,0.875082,0.878909,0.864482,206.904670,0.059000,0.034584,206.850667
Remove Top-3,TwelveLabs,"GPT-4o-mini, Qwen-VL, Replicate, MoonDream2",4,0.752000,0.855497,0.730343,0.761262,0.059394,0.842000,0.835687,0.817638,0.805129,157.260102,0.090000,0.043867,157.200708
Remove Top-4,GPT-4o-mini,"Qwen-VL, Replicate, MoonDream2",3,0.535000,0.843472,0.519330,0.587900,0.051858,0.688000,0.687665,0.655288,0.634513,120.012696,0.153000,0.046612,119.960838
Remove Top-5,Qwen-VL,"Replicate, MoonDream2",2,0.049000,0.174306,0.047644,0.060322,0.039804,0.504000,0.486585,0.465609,0.426388,82.506455,0.455000,0.366066,82.466651
Remove Gemini,Gemini,"GPT-5-mini, TwelveLabs, GPT-4o-mini, Qwen-VL, Replicate, MoonDream2",6,0.882000,0.931427,0.871435,0.889327,0.062007,0.924000,0.919076,0.924106,0.913256,233.948599,0.042000,0.023929,233.886591
Remove GPT-5-mini,GPT-5-mini,"Gemini, TwelveLabs, GPT-4o-mini, Qwen-VL, Replicate, MoonDream2",6,0.883000,0.934248,0.871044,0.890860,0.066520,0.928000,0.923565,0.930327,0.919613,94.453458,0.045000,0.028753,94.386938
Remove TwelveLabs,TwelveLabs,"Gemini, GPT-5-mini, GPT-4o-mini, Qwen-VL, Replicate, MoonDream2",6,0.905000,0.939396,0.890573,0.904428,0.067154,0.933000,0.930433,0.928018,0.922116,64.708361,0.028000,0.017688,64.641207
Remove GPT-4o-mini,GPT-4o-mini,"Gemini, GPT-5-mini, TwelveLabs, Qwen-VL, Replicate, MoonDream2",6,0.912000,0.948483,0.904845,0.919352,0.068309,0.941000,0.934352,0.940921,0.932288,71.451433,0.029000,0.012936,71.383124
Remove Qwen-VL,Qwen-VL,"Gemini, GPT-5-mini, TwelveLabs, GPT-4o-mini, Replicate, MoonDream2",6,0.926000,0.943795,0.920318,0.926015,0.063786,0.939000,0.931529,0.935933,0.928254,133.483407,0.013000,0.002239,133.419621
