filename,label,original_filename,source_path
picking fruit_4MCvmF4ca4I.mp4,picking fruit,4MCvmF4ca4I.mp4,E:\kinetics400_5per\train\picking fruit\4MCvmF4ca4I.mp4
walking the dog_97Y5HZe0jr8.mp4,walking the dog,97Y5HZe0jr8.mp4,E:\kinetics400_5per\train\walking the dog\97Y5HZe0jr8.mp4
tying knot (not on a tie)_ASCbMOVFxEM.mp4,tying knot (not on a tie),ASCbMOVFxEM.mp4,E:\kinetics400_5per\train\tying knot (not on a tie)\ASCbMOVFxEM.mp4
cooking sausages_WDaWJCdPWuQ.mp4,cooking sausages,WDaWJCdPWuQ.mp4,E:\kinetics400_5per\train\cooking sausages\WDaWJCdPWuQ.mp4
getting a haircut__1CHWQx_x-o.mp4,getting a haircut,_1CHWQx_x-o.mp4,E:\kinetics400_5per\train\getting a haircut\_1CHWQx_x-o.mp4
cooking egg_GawZIQKejyA.mp4,cooking egg,GawZIQKejyA.mp4,E:\kinetics400_5per\train\cooking egg\GawZIQKejyA.mp4
golf chipping_EO0RvgdcZak.mp4,golf chipping,EO0RvgdcZak.mp4,E:\kinetics400_5per\train\golf chipping\EO0RvgdcZak.mp4
busking_7L1rGWHL1uE.mp4,busking,7L1rGWHL1uE.mp4,E:\kinetics400_5per\train\busking\7L1rGWHL1uE.mp4
wrestling_c0omPTrqaec.mp4,wrestling,c0omPTrqaec.mp4,E:\kinetics400_5per\train\wrestling\c0omPTrqaec.mp4
shining shoes_BshSmo_rRII.mp4,shining shoes,BshSmo_rRII.mp4,E:\kinetics400_5per\train\shining shoes\BshSmo_rRII.mp4
playing saxophone_y1p4sIkKx5k.mp4,playing saxophone,y1p4sIkKx5k.mp4,E:\kinetics400_5per\train\playing saxophone\y1p4sIkKx5k.mp4
blowing out candles_984q0X_Y_pg.mp4,blowing out candles,984q0X_Y_pg.mp4,E:\kinetics400_5per\train\blowing out candles\984q0X_Y_pg.mp4
pumping gas_egSf52ALdrg.mp4,pumping gas,egSf52ALdrg.mp4,E:\kinetics400_5per\train\pumping gas\egSf52ALdrg.mp4
hammer throw_t6GdO388250.mp4,hammer throw,t6GdO388250.mp4,E:\kinetics400_5per\train\hammer throw\t6GdO388250.mp4
playing trombone_BYKGW8InFzo.mp4,playing trombone,BYKGW8InFzo.mp4,E:\kinetics400_5per\train\playing trombone\BYKGW8InFzo.mp4
eating chips_L8oNMsOgNCg.mp4,eating chips,L8oNMsOgNCg.mp4,E:\kinetics400_5per\train\eating chips\L8oNMsOgNCg.mp4
drinking shots_9xWZ7NGDxbs.mp4,drinking shots,9xWZ7NGDxbs.mp4,E:\kinetics400_5per\train\drinking shots\9xWZ7NGDxbs.mp4
doing laundry_fXFzf-W1Upo.mp4,doing laundry,fXFzf-W1Upo.mp4,E:\kinetics400_5per\train\doing laundry\fXFzf-W1Upo.mp4
windsurfing_stGGNJdak34.mp4,windsurfing,stGGNJdak34.mp4,E:\kinetics400_5per\train\windsurfing\stGGNJdak34.mp4
waiting in line_-P3Xo6aOe_c.mp4,waiting in line,-P3Xo6aOe_c.mp4,E:\kinetics400_5per\train\waiting in line\-P3Xo6aOe_c.mp4
folding paper_mo-8QoucQ-E.mp4,folding paper,mo-8QoucQ-E.mp4,E:\kinetics400_5per\train\folding paper\mo-8QoucQ-E.mp4
tobogganing_8RC5eWzYdho.mp4,tobogganing,8RC5eWzYdho.mp4,E:\kinetics400_5per\train\tobogganing\8RC5eWzYdho.mp4
jogging_ROkx8GAuGD8.mp4,jogging,ROkx8GAuGD8.mp4,E:\kinetics400_5per\train\jogging\ROkx8GAuGD8.mp4
folding clothes_wCORsPMAung.mp4,folding clothes,wCORsPMAung.mp4,E:\kinetics400_5per\train\folding clothes\wCORsPMAung.mp4
smoking_EsANK8DdK8U.mp4,smoking,EsANK8DdK8U.mp4,E:\kinetics400_5per\train\smoking\EsANK8DdK8U.mp4
reading book_qyG948yHIy4.mp4,reading book,qyG948yHIy4.mp4,E:\kinetics400_5per\train\reading book\qyG948yHIy4.mp4
dancing ballet_MWgtDDIR4uk.mp4,dancing ballet,MWgtDDIR4uk.mp4,E:\kinetics400_5per\train\dancing ballet\MWgtDDIR4uk.mp4
water skiing_rOsxidA5lPY.mp4,water skiing,rOsxidA5lPY.mp4,E:\kinetics400_5per\train\water skiing\rOsxidA5lPY.mp4
passing American football (in game)_roJmdjRiZE4.mp4,passing American football (in game),roJmdjRiZE4.mp4,E:\kinetics400_5per\train\passing American football (in game)\roJmdjRiZE4.mp4
bungee jumping_JO7Rsykqzy4.mp4,bungee jumping,JO7Rsykqzy4.mp4,E:\kinetics400_5per\train\bungee jumping\JO7Rsykqzy4.mp4
passing American football (in game)_CegYZ0sCozg.mp4,passing American football (in game),CegYZ0sCozg.mp4,E:\kinetics400_5per\train\passing American football (in game)\CegYZ0sCozg.mp4
clapping_8ChV2Ud4TeA.mp4,clapping,8ChV2Ud4TeA.mp4,E:\kinetics400_5per\train\clapping\8ChV2Ud4TeA.mp4
sweeping floor_pXQQEdTvYzk.mp4,sweeping floor,pXQQEdTvYzk.mp4,E:\kinetics400_5per\train\sweeping floor\pXQQEdTvYzk.mp4
catching or throwing frisbee_BwinQkeGXlA.mp4,catching or throwing frisbee,BwinQkeGXlA.mp4,E:\kinetics400_5per\train\catching or throwing frisbee\BwinQkeGXlA.mp4
tap dancing_EhhMcgjLHGk.mp4,tap dancing,EhhMcgjLHGk.mp4,E:\kinetics400_5per\train\tap dancing\EhhMcgjLHGk.mp4
hopscotch_SZInWQy3Kss.mp4,hopscotch,SZInWQy3Kss.mp4,E:\kinetics400_5per\train\hopscotch\SZInWQy3Kss.mp4
riding mule_EB0i0aNFdo8.mp4,riding mule,EB0i0aNFdo8.mp4,E:\kinetics400_5per\train\riding mule\EB0i0aNFdo8.mp4
side kick_UL6f2TF4Pb4.mp4,side kick,UL6f2TF4Pb4.mp4,E:\kinetics400_5per\train\side kick\UL6f2TF4Pb4.mp4
ice fishing_C4paPXc3jbk.mp4,ice fishing,C4paPXc3jbk.mp4,E:\kinetics400_5per\train\ice fishing\C4paPXc3jbk.mp4
riding camel__7chbtTMvqM.mp4,riding camel,_7chbtTMvqM.mp4,E:\kinetics400_5per\train\riding camel\_7chbtTMvqM.mp4
using computer_sOyTlwr2Keg.mp4,using computer,sOyTlwr2Keg.mp4,E:\kinetics400_5per\train\using computer\sOyTlwr2Keg.mp4
carrying baby_VsBBBpmayz4.mp4,carrying baby,VsBBBpmayz4.mp4,E:\kinetics400_5per\train\carrying baby\VsBBBpmayz4.mp4
petting animal (not cat)__VHEVxVbk5A.mp4,petting animal (not cat),_VHEVxVbk5A.mp4,E:\kinetics400_5per\train\petting animal (not cat)\_VHEVxVbk5A.mp4
deadlifting_SRUFfx2rmDM.mp4,deadlifting,SRUFfx2rmDM.mp4,E:\kinetics400_5per\train\deadlifting\SRUFfx2rmDM.mp4
gargling_CcF8z-nxXU8.mp4,gargling,CcF8z-nxXU8.mp4,E:\kinetics400_5per\train\gargling\CcF8z-nxXU8.mp4
tasting beer_wqGBdXYDgLQ.mp4,tasting beer,wqGBdXYDgLQ.mp4,E:\kinetics400_5per\train\tasting beer\wqGBdXYDgLQ.mp4
playing bagpipes_h07O_rYnlV8.mp4,playing bagpipes,h07O_rYnlV8.mp4,E:\kinetics400_5per\train\playing bagpipes\h07O_rYnlV8.mp4
skiing crosscountry_qtrSDsGi8i8.mp4,skiing crosscountry,qtrSDsGi8i8.mp4,E:\kinetics400_5per\train\skiing crosscountry\qtrSDsGi8i8.mp4
sweeping floor_lmKly9Qk5_A.mp4,sweeping floor,lmKly9Qk5_A.mp4,E:\kinetics400_5per\train\sweeping floor\lmKly9Qk5_A.mp4
swinging on something_QNqTtGmX6dQ.mp4,swinging on something,QNqTtGmX6dQ.mp4,E:\kinetics400_5per\train\swinging on something\QNqTtGmX6dQ.mp4
catching or throwing frisbee_WUPGYa5e4PE.mp4,catching or throwing frisbee,WUPGYa5e4PE.mp4,E:\kinetics400_5per\train\catching or throwing frisbee\WUPGYa5e4PE.mp4
strumming guitar_pN5l8Nw90-o.mp4,strumming guitar,pN5l8Nw90-o.mp4,E:\kinetics400_5per\train\strumming guitar\pN5l8Nw90-o.mp4
waxing chest_LvD0LRGKPuk.mp4,waxing chest,LvD0LRGKPuk.mp4,E:\kinetics400_5per\train\waxing chest\LvD0LRGKPuk.mp4
catching or throwing softball_hLwhdHEDb-U.mp4,catching or throwing softball,hLwhdHEDb-U.mp4,E:\kinetics400_5per\train\catching or throwing softball\hLwhdHEDb-U.mp4
shaking head_OslRvwb5h0o.mp4,shaking head,OslRvwb5h0o.mp4,E:\kinetics400_5per\train\shaking head\OslRvwb5h0o.mp4
crawling baby_mlBgC0FU8os.mp4,crawling baby,mlBgC0FU8os.mp4,E:\kinetics400_5per\train\crawling baby\mlBgC0FU8os.mp4
juggling balls_chPkGSwtusM.mp4,juggling balls,chPkGSwtusM.mp4,E:\kinetics400_5per\train\juggling balls\chPkGSwtusM.mp4
hoverboarding_F1qF6tpEi2c.mp4,hoverboarding,F1qF6tpEi2c.mp4,E:\kinetics400_5per\train\hoverboarding\F1qF6tpEi2c.mp4
triple jump_Y6uHDxZtTDQ.mp4,triple jump,Y6uHDxZtTDQ.mp4,E:\kinetics400_5per\train\triple jump\Y6uHDxZtTDQ.mp4
knitting__MVoZg7hG20.mp4,knitting,_MVoZg7hG20.mp4,E:\kinetics400_5per\train\knitting\_MVoZg7hG20.mp4
counting money_KT3UtnB9cCE.mp4,counting money,KT3UtnB9cCE.mp4,E:\kinetics400_5per\train\counting money\KT3UtnB9cCE.mp4
scrambling eggs__YJMZwntfrg.mp4,scrambling eggs,_YJMZwntfrg.mp4,E:\kinetics400_5per\train\scrambling eggs\_YJMZwntfrg.mp4
playing saxophone_WPxLQojk8VY.mp4,playing saxophone,WPxLQojk8VY.mp4,E:\kinetics400_5per\train\playing saxophone\WPxLQojk8VY.mp4
peeling apples_HqNWe1An0DU.mp4,peeling apples,HqNWe1An0DU.mp4,E:\kinetics400_5per\train\peeling apples\HqNWe1An0DU.mp4
mowing lawn_EygIfACQYUc.mp4,mowing lawn,EygIfACQYUc.mp4,E:\kinetics400_5per\train\mowing lawn\EygIfACQYUc.mp4
playing ukulele_122texA_m_4.mp4,playing ukulele,122texA_m_4.mp4,E:\kinetics400_5per\train\playing ukulele\122texA_m_4.mp4
eating chips_lQPu3vFp-58.mp4,eating chips,lQPu3vFp-58.mp4,E:\kinetics400_5per\train\eating chips\lQPu3vFp-58.mp4
pushing car_mIu45ueBUiI.mp4,pushing car,mIu45ueBUiI.mp4,E:\kinetics400_5per\train\pushing car\mIu45ueBUiI.mp4
mopping floor_RT7iPOijW-Y.mp4,mopping floor,RT7iPOijW-Y.mp4,E:\kinetics400_5per\train\mopping floor\RT7iPOijW-Y.mp4
playing paintball__8tdC3Pw5ZY.mp4,playing paintball,_8tdC3Pw5ZY.mp4,E:\kinetics400_5per\train\playing paintball\_8tdC3Pw5ZY.mp4
using remote controller (not gaming)_IHKW6_E2XfQ.mp4,using remote controller (not gaming),IHKW6_E2XfQ.mp4,E:\kinetics400_5per\train\using remote controller (not gaming)\IHKW6_E2XfQ.mp4
eating spaghetti_ttiDP4vEr1w.mp4,eating spaghetti,ttiDP4vEr1w.mp4,E:\kinetics400_5per\train\eating spaghetti\ttiDP4vEr1w.mp4
shaving head_vaGX5uWhWVs.mp4,shaving head,vaGX5uWhWVs.mp4,E:\kinetics400_5per\train\shaving head\vaGX5uWhWVs.mp4
