From_Iteration,To_Iteration,Num_Changes,Percent_Changed
1,2,15,1.50
2,3,1,0.10
3,4,0,0.00
4,5,0,0.00
5,6,0,0.00
6,7,0,0.00
7,8,0,0.00
8,9,0,0.00
9,10,0,0.00
10,11,0,0.00
11,12,0,0.00
12,13,0,0.00
13,14,0,0.00
14,15,0,0.00
15,16,0,0.00
16,17,0,0.00
17,18,0,0.00
18,19,0,0.00
19,20,0,0.00
20,21,0,0.00
21,22,0,0.00
22,23,0,0.00
23,24,0,0.00
24,25,0,0.00
25,26,0,0.00
26,27,0,0.00
27,28,0,0.00
28,29,0,0.00
29,30,0,0.00
30,31,0,0.00
31,32,0,0.00
32,33,0,0.00
33,34,0,0.00
34,35,0,0.00
35,36,0,0.00
36,37,0,0.00
37,38,0,0.00
38,39,0,0.00
39,40,0,0.00
40,41,0,0.00
41,42,0,0.00
42,43,0,0.00
43,44,0,0.00
44,45,0,0.00
45,46,0,0.00
46,47,0,0.00
47,48,0,0.00
48,49,0,0.00
49,50,0,0.00
50,51,0,0.00
51,52,0,0.00
52,53,0,0.00
53,54,0,0.00
54,55,0,0.00
55,56,0,0.00
56,57,0,0.00
57,58,0,0.00
58,59,0,0.00
59,60,0,0.00
60,61,0,0.00
61,62,0,0.00
62,63,0,0.00
63,64,0,0.00
64,65,0,0.00
65,66,0,0.00
66,67,0,0.00
67,68,0,0.00
68,69,1,0.10
69,70,0,0.00
70,71,0,0.00
71,72,0,0.00
72,73,0,0.00
73,74,0,0.00
74,75,0,0.00
75,76,0,0.00
