,precision,recall,f1-score,support
abseiling,0.8888888888888888,1.0,0.9411764705882353,24.0
applauding,0.5,0.6,0.5454545454545454,5.0
applying cream,0.7777777777777778,0.875,0.8235294117647058,8.0
baby waking up,0.5625,1.0,0.72,9.0
balloon blowing,1.0,1.0,1.0,17.0
bandaging,0.9333333333333333,1.0,0.9655172413793104,14.0
bench pressing,1.0,0.9696969696969697,0.9846153846153847,33.0
blasting sand,1.0,0.8666666666666667,0.9285714285714286,15.0
canoeing or kayaking,0.9615384615384616,1.0,0.9803921568627451,25.0
capoeira,0.9411764705882353,1.0,0.9696969696969697,32.0
changing oil,1.0,1.0,1.0,13.0
changing wheel,0.7777777777777778,1.0,0.875,7.0
cooking on campfire,1.0,1.0,1.0,5.0
dancing ballet,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
dancing charleston,0.75,1.0,0.8571428571428571,9.0
dancing macarena,0.7619047619047619,0.8888888888888888,0.8205128205128205,18.0
doing nails,1.0,1.0,1.0,19.0
driving car,0.9,0.9473684210526315,0.9230769230769231,19.0
dunking basketball,1.0,1.0,1.0,29.0
feeding goats,0.9666666666666667,1.0,0.9830508474576272,29.0
fixing hair,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
frying vegetables,1.0,1.0,1.0,12.0
hurdling,0.9333333333333333,1.0,0.9655172413793104,14.0
javelin throw,1.0,0.9444444444444444,0.9714285714285714,18.0
jogging,0.75,1.0,0.8571428571428571,6.0
juggling soccer ball,1.0,1.0,1.0,7.0
laughing,0.64,0.7619047619047619,0.6956521739130435,21.0
laying bricks,1.0,1.0,1.0,9.0
lunge,0.7894736842105263,1.0,0.8823529411764706,15.0
making snowman,1.0,0.95,0.9743589743589743,20.0
moving furniture,1.0,0.6666666666666666,0.8,9.0
plastering,1.0,0.8333333333333334,0.9090909090909091,6.0
playing badminton,1.0,1.0,1.0,25.0
playing chess,1.0,1.0,1.0,18.0
playing didgeridoo,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
playing keyboard,1.0,1.0,1.0,16.0
playing trombone,1.0,1.0,1.0,30.0
playing xylophone,1.0,1.0,1.0,17.0
pole vault,0.9523809523809523,0.8695652173913043,0.9090909090909091,23.0
pumping fist,0.9,0.375,0.5294117647058824,24.0
pushing wheelchair,1.0,0.875,0.9333333333333333,8.0
riding elephant,1.0,0.9629629629629629,0.9811320754716981,27.0
riding mountain bike,0.9090909090909091,1.0,0.9523809523809523,10.0
riding unicycle,1.0,0.8823529411764706,0.9375,17.0
ripping paper,1.0,0.6153846153846154,0.7619047619047619,13.0
sharpening knives,1.0,1.0,1.0,10.0
shuffling cards,1.0,1.0,1.0,17.0
sign language interpreting,1.0,1.0,1.0,6.0
skateboarding,1.0,1.0,1.0,26.0
snatch weight lifting,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
snorkeling,1.0,1.0,1.0,25.0
spray painting,0.9130434782608695,0.9545454545454546,0.9333333333333333,22.0
squat,0.9090909090909091,0.7692307692307693,0.8333333333333334,26.0
swinging legs,0.875,0.875,0.875,8.0
tango dancing,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
trimming or shaving beard,1.0,0.9583333333333334,0.9787234042553191,24.0
tying bow tie,1.0,1.0,1.0,5.0
unloading truck,1.0,1.0,1.0,7.0
vault,0.9285714285714286,1.0,0.9629629629629629,13.0
waiting in line,1.0,1.0,1.0,7.0
accuracy,0.938,0.938,0.938,0.938
macro avg,0.9328913440103414,0.9360182224306489,0.9282825777430898,1000.0
weighted avg,0.945587603207977,0.938,0.9362696847720847,1000.0
