,precision,recall,f1-score,support
abseiling,1.0,1.0,1.0,24.0
applauding,0.3,0.6,0.4,5.0
applying cream,0.4444444444444444,0.5,0.47058823529411764,8.0
baby waking up,0.2962962962962963,0.8888888888888888,0.4444444444444444,9.0
balloon blowing,1.0,0.9411764705882353,0.9696969696969697,17.0
bandaging,0.9333333333333333,1.0,0.9655172413793104,14.0
bench pressing,0.96875,0.9393939393939394,0.9538461538461539,33.0
blasting sand,1.0,0.7333333333333333,0.8461538461538461,15.0
canoeing or kayaking,0.9230769230769231,0.96,0.9411764705882353,25.0
capoeira,0.9411764705882353,1.0,0.9696969696969697,32.0
changing oil,0.8125,1.0,0.896551724137931,13.0
changing wheel,0.875,1.0,0.9333333333333333,7.0
cooking on campfire,0.3333333333333333,1.0,0.5,5.0
dancing ballet,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
dancing charleston,0.5833333333333334,0.7777777777777778,0.6666666666666666,9.0
dancing macarena,0.7222222222222222,0.7222222222222222,0.7222222222222222,18.0
doing nails,0.7916666666666666,1.0,0.8837209302325582,19.0
driving car,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
dunking basketball,0.9354838709677419,1.0,0.9666666666666667,29.0
feeding goats,0.9354838709677419,1.0,0.9666666666666667,29.0
fixing hair,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
frying vegetables,1.0,0.16666666666666666,0.2857142857142857,12.0
hurdling,0.9333333333333333,1.0,0.9655172413793104,14.0
javelin throw,0.9411764705882353,0.8888888888888888,0.9142857142857143,18.0
jogging,0.8,0.6666666666666666,0.7272727272727273,6.0
juggling soccer ball,0.6363636363636364,1.0,0.7777777777777778,7.0
laughing,0.4482758620689655,0.6190476190476191,0.52,21.0
laying bricks,1.0,0.8888888888888888,0.9411764705882353,9.0
lunge,0.6,1.0,0.75,15.0
making snowman,1.0,0.95,0.9743589743589743,20.0
moving furniture,0.8,0.4444444444444444,0.5714285714285714,9.0
plastering,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
playing badminton,1.0,0.76,0.8636363636363636,25.0
playing chess,1.0,1.0,1.0,18.0
playing didgeridoo,0.8823529411764706,0.8823529411764706,0.8823529411764706,17.0
playing keyboard,0.9333333333333333,0.875,0.9032258064516129,16.0
playing trombone,1.0,0.9,0.9473684210526315,30.0
playing xylophone,1.0,0.9411764705882353,0.9696969696969697,17.0
pole vault,1.0,0.17391304347826086,0.2962962962962963,23.0
pumping fist,0.7777777777777778,0.2916666666666667,0.42424242424242425,24.0
pushing wheelchair,1.0,0.875,0.9333333333333333,8.0
riding elephant,1.0,0.9629629629629629,0.9811320754716981,27.0
riding mountain bike,0.9090909090909091,1.0,0.9523809523809523,10.0
riding unicycle,1.0,0.8235294117647058,0.9032258064516129,17.0
ripping paper,1.0,0.46153846153846156,0.631578947368421,13.0
sharpening knives,1.0,0.9,0.9473684210526315,10.0
shuffling cards,1.0,0.9411764705882353,0.9696969696969697,17.0
sign language interpreting,1.0,0.8333333333333334,0.9090909090909091,6.0
skateboarding,1.0,1.0,1.0,26.0
snatch weight lifting,0.8214285714285714,0.9583333333333334,0.8846153846153846,24.0
snorkeling,0.9615384615384616,1.0,0.9803921568627451,25.0
spray painting,0.9130434782608695,0.9545454545454546,0.9333333333333333,22.0
squat,1.0,0.6153846153846154,0.7619047619047619,26.0
swinging legs,1.0,0.125,0.2222222222222222,8.0
tango dancing,0.7777777777777778,0.875,0.8235294117647058,24.0
trimming or shaving beard,1.0,0.8333333333333334,0.9090909090909091,24.0
tying bow tie,1.0,1.0,1.0,5.0
unloading truck,1.0,1.0,1.0,7.0
vault,0.39285714285714285,0.8461538461538461,0.5365853658536586,13.0
waiting in line,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
micro avg,0.8495486459378134,0.847,0.8482724086129194,1000.0
macro avg,0.8615450738179954,0.8316207879912506,0.8143898997846402,1000.0
weighted avg,0.8931144887363294,0.847,0.8443587033751895,1000.0
