,precision,recall,f1-score,support
abseiling,0.9230769230769231,1.0,0.96,24.0
applauding,0.3333333333333333,0.6,0.42857142857142855,5.0
applying cream,0.7,0.875,0.7777777777777778,8.0
baby waking up,0.5625,1.0,0.72,9.0
balloon blowing,1.0,1.0,1.0,17.0
bandaging,0.9333333333333333,1.0,0.9655172413793104,14.0
bench pressing,1.0,1.0,1.0,33.0
blasting sand,1.0,1.0,1.0,15.0
canoeing or kayaking,1.0,1.0,1.0,25.0
capoeira,0.9411764705882353,1.0,0.9696969696969697,32.0
changing oil,1.0,1.0,1.0,13.0
changing wheel,0.875,1.0,0.9333333333333333,7.0
cooking on campfire,1.0,1.0,1.0,5.0
dancing ballet,0.9642857142857143,0.9,0.9310344827586207,30.0
dancing charleston,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
dancing macarena,0.6956521739130435,0.8888888888888888,0.7804878048780488,18.0
doing nails,1.0,1.0,1.0,19.0
driving car,0.9047619047619048,1.0,0.95,19.0
dunking basketball,1.0,1.0,1.0,29.0
feeding goats,1.0,1.0,1.0,29.0
fixing hair,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
frying vegetables,1.0,1.0,1.0,12.0
hurdling,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
javelin throw,1.0,0.8333333333333334,0.9090909090909091,18.0
jogging,0.6,1.0,0.75,6.0
juggling soccer ball,0.875,1.0,0.9333333333333333,7.0
laughing,0.85,0.8095238095238095,0.8292682926829268,21.0
laying bricks,1.0,1.0,1.0,9.0
lunge,0.7142857142857143,1.0,0.8333333333333334,15.0
making snowman,1.0,0.95,0.9743589743589743,20.0
moving furniture,1.0,0.5555555555555556,0.7142857142857143,9.0
plastering,1.0,0.8333333333333334,0.9090909090909091,6.0
playing badminton,1.0,0.96,0.9795918367346939,25.0
playing chess,1.0,1.0,1.0,18.0
playing didgeridoo,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
playing keyboard,0.9411764705882353,1.0,0.9696969696969697,16.0
playing trombone,1.0,1.0,1.0,30.0
playing xylophone,1.0,1.0,1.0,17.0
pole vault,0.9130434782608695,0.9130434782608695,0.9130434782608695,23.0
pumping fist,0.9166666666666666,0.4583333333333333,0.6111111111111112,24.0
pushing wheelchair,1.0,0.875,0.9333333333333333,8.0
riding elephant,1.0,0.9259259259259259,0.9615384615384616,27.0
riding mountain bike,0.9090909090909091,1.0,0.9523809523809523,10.0
riding unicycle,1.0,0.9411764705882353,0.9696969696969697,17.0
ripping paper,1.0,0.6153846153846154,0.7619047619047619,13.0
sharpening knives,1.0,1.0,1.0,10.0
shuffling cards,1.0,1.0,1.0,17.0
sign language interpreting,1.0,0.8333333333333334,0.9090909090909091,6.0
skateboarding,1.0,0.9615384615384616,0.9803921568627451,26.0
snatch weight lifting,0.92,0.9583333333333334,0.9387755102040817,24.0
snorkeling,1.0,1.0,1.0,25.0
spray painting,1.0,0.9545454545454546,0.9767441860465116,22.0
squat,0.95,0.7307692307692307,0.8260869565217391,26.0
swinging legs,0.7777777777777778,0.875,0.8235294117647058,8.0
tango dancing,0.8214285714285714,0.9583333333333334,0.8846153846153846,24.0
trimming or shaving beard,1.0,0.9166666666666666,0.9565217391304348,24.0
tying bow tie,1.0,1.0,1.0,5.0
unloading truck,1.0,0.8571428571428571,0.9230769230769231,7.0
vault,1.0,1.0,1.0,13.0
waiting in line,1.0,1.0,1.0,7.0
accuracy,0.933,0.933,0.933,0.933
macro avg,0.9255963630832557,0.9259376420049906,0.9180731492936419,1000.0
weighted avg,0.9447219728999333,0.933,0.9329216870379577,1000.0
