,precision,recall,f1-score,support
abseiling,0.36923076923076925,1.0,0.5393258426966292,24.0
applauding,0.12,0.6,0.2,5.0
applying cream,0.3888888888888889,0.875,0.5384615384615384,8.0
baby waking up,0.5833333333333334,0.7777777777777778,0.6666666666666666,9.0
balloon blowing,0.9444444444444444,1.0,0.9714285714285714,17.0
bandaging,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
bench pressing,0.7105263157894737,0.8181818181818182,0.7605633802816901,33.0
blasting sand,0.9090909090909091,0.6666666666666666,0.7692307692307693,15.0
canoeing or kayaking,1.0,0.88,0.9361702127659575,25.0
capoeira,0.8529411764705882,0.90625,0.8787878787878788,32.0
changing oil,0.8571428571428571,0.9230769230769231,0.8888888888888888,13.0
changing wheel,0.3333333333333333,1.0,0.5,7.0
cooking on campfire,0.3333333333333333,0.8,0.47058823529411764,5.0
dancing ballet,0.875,0.4666666666666667,0.6086956521739131,30.0
dancing charleston,1.0,0.1111111111111111,0.2,9.0
dancing macarena,0.26666666666666666,0.8888888888888888,0.41025641025641024,18.0
doing nails,0.7777777777777778,0.7368421052631579,0.7567567567567568,19.0
driving car,0.8823529411764706,0.7894736842105263,0.8333333333333334,19.0
dunking basketball,0.9629629629629629,0.896551724137931,0.9285714285714286,29.0
feeding goats,0.8148148148148148,0.7586206896551724,0.7857142857142857,29.0
fixing hair,0.8333333333333334,0.35714285714285715,0.5,14.0
frying vegetables,1.0,0.3333333333333333,0.5,12.0
hurdling,0.7333333333333333,0.7857142857142857,0.7586206896551724,14.0
javelin throw,0.5517241379310345,0.8888888888888888,0.6808510638297872,18.0
jogging,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
juggling soccer ball,0.46153846153846156,0.8571428571428571,0.6,7.0
laughing,0.75,0.42857142857142855,0.5454545454545454,21.0
laying bricks,0.5625,1.0,0.72,9.0
lunge,0.625,0.3333333333333333,0.43478260869565216,15.0
making snowman,1.0,0.9,0.9473684210526315,20.0
moving furniture,1.0,0.5555555555555556,0.7142857142857143,9.0
plastering,1.0,0.5,0.6666666666666666,6.0
playing badminton,0.9545454545454546,0.84,0.8936170212765957,25.0
playing chess,1.0,0.8888888888888888,0.9411764705882353,18.0
playing didgeridoo,0.8,0.7058823529411765,0.75,17.0
playing keyboard,0.8666666666666667,0.8125,0.8387096774193549,16.0
playing trombone,1.0,0.8333333333333334,0.9090909090909091,30.0
playing xylophone,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0
pole vault,0.36666666666666664,0.4782608695652174,0.41509433962264153,23.0
pumping fist,0.6666666666666666,0.08333333333333333,0.14814814814814814,24.0
pushing wheelchair,0.875,0.875,0.875,8.0
riding elephant,1.0,0.7407407407407407,0.851063829787234,27.0
riding mountain bike,0.8333333333333334,1.0,0.9090909090909091,10.0
riding unicycle,1.0,0.8235294117647058,0.9032258064516129,17.0
ripping paper,1.0,0.23076923076923078,0.375,13.0
sharpening knives,0.9,0.9,0.9,10.0
shuffling cards,1.0,0.5294117647058824,0.6923076923076923,17.0
sign language interpreting,1.0,0.5,0.6666666666666666,6.0
skateboarding,0.9629629629629629,1.0,0.9811320754716981,26.0
snatch weight lifting,0.7407407407407407,0.8333333333333334,0.7843137254901961,24.0
snorkeling,1.0,0.92,0.9583333333333334,25.0
spray painting,1.0,0.6818181818181818,0.8108108108108109,22.0
squat,0.7692307692307693,0.38461538461538464,0.5128205128205128,26.0
swinging legs,0.0,0.0,0.0,8.0
tango dancing,1.0,0.6666666666666666,0.8,24.0
trimming or shaving beard,0.9090909090909091,0.8333333333333334,0.8695652173913043,24.0
tying bow tie,1.0,0.8,0.8888888888888888,5.0
unloading truck,0.5384615384615384,1.0,0.7,7.0
vault,0.0,0.0,0.0,13.0
waiting in line,1.0,0.2857142857142857,0.4444444444444444,7.0
micro avg,0.7230614300100705,0.718,0.7205218263923733,1000.0
macro avg,0.7654731188824238,0.7011225980085389,0.6819452973769915,1000.0
weighted avg,0.8027954520039485,0.718,0.720050955365685,1000.0
