,precision,recall,f1-score,support
abseiling,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
applauding,0.3333333333333333,0.6,0.42857142857142855,5.0
applying cream,0.0625,0.125,0.08333333333333333,8.0
baby waking up,0.8,0.4444444444444444,0.5714285714285714,9.0
balloon blowing,0.9375,0.8823529411764706,0.9090909090909091,17.0
bandaging,0.9,0.6428571428571429,0.75,14.0
bench pressing,0.6041666666666666,0.8787878787878788,0.7160493827160493,33.0
blasting sand,1.0,0.13333333333333333,0.23529411764705882,15.0
canoeing or kayaking,0.92,0.92,0.92,25.0
capoeira,1.0,0.4375,0.6086956521739131,32.0
changing oil,1.0,0.23076923076923078,0.375,13.0
changing wheel,0.35,1.0,0.5185185185185185,7.0
cooking on campfire,0.6666666666666666,0.8,0.7272727272727273,5.0
dancing ballet,0.3918918918918919,0.9666666666666667,0.5576923076923077,30.0
dancing charleston,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
dancing macarena,1.0,0.05555555555555555,0.10526315789473684,18.0
doing nails,0.7083333333333334,0.8947368421052632,0.7906976744186046,19.0
driving car,0.6428571428571429,0.9473684210526315,0.7659574468085106,19.0
dunking basketball,0.8709677419354839,0.9310344827586207,0.9,29.0
feeding goats,0.9310344827586207,0.9310344827586207,0.9310344827586207,29.0
fixing hair,0.36363636363636365,0.8571428571428571,0.5106382978723404,14.0
frying vegetables,1.0,0.9166666666666666,0.9565217391304348,12.0
hurdling,0.8888888888888888,0.5714285714285714,0.6956521739130435,14.0
javelin throw,0.0,0.0,0.0,18.0
jogging,0.13333333333333333,0.6666666666666666,0.2222222222222222,6.0
juggling soccer ball,0.5555555555555556,0.7142857142857143,0.625,7.0
laughing,0.3488372093023256,0.7142857142857143,0.46875,21.0
laying bricks,0.7,0.7777777777777778,0.7368421052631579,9.0
lunge,0.4,0.13333333333333333,0.2,15.0
making snowman,1.0,0.8,0.8888888888888888,20.0
moving furniture,0.8,0.4444444444444444,0.5714285714285714,9.0
plastering,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
playing badminton,0.6129032258064516,0.76,0.6785714285714286,25.0
playing chess,1.0,1.0,1.0,18.0
playing didgeridoo,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0
playing keyboard,0.5769230769230769,0.9375,0.7142857142857143,16.0
playing trombone,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
playing xylophone,1.0,0.47058823529411764,0.64,17.0
pole vault,0.4146341463414634,0.7391304347826086,0.53125,23.0
pumping fist,0.16666666666666666,0.041666666666666664,0.06666666666666667,24.0
pushing wheelchair,1.0,0.5,0.6666666666666666,8.0
riding elephant,1.0,0.7407407407407407,0.851063829787234,27.0
riding mountain bike,0.5,0.8,0.6153846153846154,10.0
riding unicycle,1.0,0.4117647058823529,0.5833333333333334,17.0
ripping paper,1.0,0.23076923076923078,0.375,13.0
sharpening knives,0.75,0.9,0.8181818181818182,10.0
shuffling cards,0.9333333333333333,0.8235294117647058,0.875,17.0
sign language interpreting,1.0,0.16666666666666666,0.2857142857142857,6.0
skateboarding,0.96,0.9230769230769231,0.9411764705882353,26.0
snatch weight lifting,0.8,0.6666666666666666,0.7272727272727273,24.0
snorkeling,0.9615384615384616,1.0,0.9803921568627451,25.0
spray painting,0.8,0.9090909090909091,0.851063829787234,22.0
squat,0.36363636363636365,0.3076923076923077,0.3333333333333333,26.0
swinging legs,1.0,0.125,0.2222222222222222,8.0
tango dancing,1.0,0.041666666666666664,0.08,24.0
trimming or shaving beard,1.0,0.16666666666666666,0.2857142857142857,24.0
tying bow tie,0.6,0.6,0.6,5.0
unloading truck,0.75,0.8571428571428571,0.8,7.0
vault,0.0,0.0,0.0,13.0
waiting in line,0.3333333333333333,0.8571428571428571,0.48,7.0
micro avg,0.6604938271604939,0.642,0.6511156186612576,1000.0
macro avg,0.7101818395196318,0.6117105874288249,0.5880601890592996,1000.0
weighted avg,0.7441155238352047,0.642,0.6252477211294968,1000.0
