,precision,recall,f1-score,support
abseiling,1.0,0.9166666666666666,0.9565217391304348,24.0
applauding,0.5,0.2,0.2857142857142857,5.0
applying cream,0.8,0.5,0.6153846153846154,8.0
baby waking up,0.8,0.8888888888888888,0.8421052631578947,9.0
balloon blowing,1.0,0.9411764705882353,0.9696969696969697,17.0
bandaging,0.9333333333333333,1.0,0.9655172413793104,14.0
bench pressing,0.9666666666666667,0.8787878787878788,0.9206349206349206,33.0
blasting sand,1.0,0.5333333333333333,0.6956521739130435,15.0
canoeing or kayaking,1.0,1.0,1.0,25.0
capoeira,0.8823529411764706,0.9375,0.9090909090909091,32.0
changing oil,1.0,1.0,1.0,13.0
changing wheel,0.875,1.0,0.9333333333333333,7.0
cooking on campfire,1.0,1.0,1.0,5.0
dancing ballet,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
dancing charleston,0.25806451612903225,0.8888888888888888,0.4,9.0
dancing macarena,0.6666666666666666,0.2222222222222222,0.3333333333333333,18.0
doing nails,1.0,0.9473684210526315,0.972972972972973,19.0
driving car,0.8571428571428571,0.9473684210526315,0.9,19.0
dunking basketball,1.0,0.7931034482758621,0.8846153846153846,29.0
feeding goats,0.9666666666666667,1.0,0.9830508474576272,29.0
fixing hair,0.75,0.8571428571428571,0.8,14.0
frying vegetables,1.0,1.0,1.0,12.0
hurdling,0.8,0.8571428571428571,0.8275862068965517,14.0
javelin throw,0.8461538461538461,0.6111111111111112,0.7096774193548387,18.0
jogging,0.6,1.0,0.75,6.0
juggling soccer ball,1.0,0.8571428571428571,0.9230769230769231,7.0
laughing,0.5925925925925926,0.7619047619047619,0.6666666666666666,21.0
laying bricks,0.8181818181818182,1.0,0.9,9.0
lunge,0.7777777777777778,0.9333333333333333,0.8484848484848485,15.0
making snowman,1.0,1.0,1.0,20.0
moving furniture,0.9,1.0,0.9473684210526315,9.0
plastering,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
playing badminton,0.9583333333333334,0.92,0.9387755102040817,25.0
playing chess,0.9473684210526315,1.0,0.972972972972973,18.0
playing didgeridoo,0.9285714285714286,0.7647058823529411,0.8387096774193549,17.0
playing keyboard,0.8421052631578947,1.0,0.9142857142857143,16.0
playing trombone,1.0,0.9333333333333333,0.9655172413793104,30.0
playing xylophone,1.0,0.9411764705882353,0.9696969696969697,17.0
pole vault,0.8888888888888888,0.6956521739130435,0.7804878048780488,23.0
pumping fist,0.8,0.16666666666666666,0.27586206896551724,24.0
pushing wheelchair,0.8888888888888888,1.0,0.9411764705882353,8.0
riding elephant,1.0,0.9259259259259259,0.9615384615384616,27.0
riding mountain bike,0.7142857142857143,1.0,0.8333333333333334,10.0
riding unicycle,1.0,0.8235294117647058,0.9032258064516129,17.0
ripping paper,1.0,0.5384615384615384,0.7,13.0
sharpening knives,0.9090909090909091,1.0,0.9523809523809523,10.0
shuffling cards,1.0,0.8823529411764706,0.9375,17.0
sign language interpreting,1.0,1.0,1.0,6.0
skateboarding,1.0,0.9615384615384616,0.9803921568627451,26.0
snatch weight lifting,0.9130434782608695,0.875,0.8936170212765957,24.0
snorkeling,1.0,1.0,1.0,25.0
spray painting,0.75,0.9545454545454546,0.84,22.0
squat,0.782608695652174,0.6923076923076923,0.7346938775510204,26.0
swinging legs,0.75,0.75,0.75,8.0
tango dancing,1.0,0.9166666666666666,0.9565217391304348,24.0
trimming or shaving beard,0.9230769230769231,1.0,0.96,24.0
tying bow tie,1.0,1.0,1.0,5.0
unloading truck,0.875,1.0,0.9333333333333333,7.0
vault,0.9166666666666666,0.8461538461538461,0.88,13.0
waiting in line,0.4117647058823529,1.0,0.5833333333333334,7.0
micro avg,0.8785714285714286,0.861,0.8696969696969697,1000.0
macro avg,0.875869962686686,0.8626849813821668,0.8511287329733465,1000.0
weighted avg,0.9011296691359318,0.861,0.8656545488123839,1000.0
