True_Class,Predicted_Class,Count
pumping fist,dancing macarena,5
ripping paper,laughing,4
squat,lunge,4
pumping fist,applauding,3
blasting sand,spray painting,2
moving furniture,baby waking up,2
laughing,baby waking up,2
pumping fist,laughing,2
pumping fist,baby waking up,2
applauding,dancing charleston,1
applying cream,playing didgeridoo,1
bench pressing,laughing,1
applauding,baby waking up,1
javelin throw,pole vault,1
fixing hair,applying cream,1
driving car,changing wheel,1
dancing macarena,laughing,1
dancing macarena,dancing charleston,1
dancing ballet,dancing charleston,1
dancing ballet,capoeira,1
bench pressing,laying bricks,1
playing didgeridoo,capoeira,1
plastering,bandaging,1
making snowman,abseiling,1
pole vault,canoeing or kayaking,1
pumping fist,abseiling,1
laughing,swinging legs,1
laughing,pumping fist,1
laughing,applauding,1
pumping fist,driving car,1
pole vault,jogging,1
pole vault,vault,1
pushing wheelchair,tango dancing,1
riding elephant,jogging,1
riding unicycle,abseiling,1
riding unicycle,riding mountain bike,1
pumping fist,fixing hair,1
ripping paper,feeding goats,1
snatch weight lifting,squat,1
spray painting,changing wheel,1
squat,hurdling,1
squat,snatch weight lifting,1
swinging legs,dancing ballet,1
tango dancing,dancing macarena,1
trimming or shaving beard,applying cream,1
